product,utc,incidence_deg,sun_elev_deg,emission_deg,phase_deg,sun_az_deg,az_source,center_lat,center_lon,download_url,covers_site
nac.m1496294066re,2025-03-11T00:59:59+00:00,84.86,5.140000000000001,21.71,63.35,137.37510862540492,proxy,-84.9219,29.6166,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-2-EDR-V1.0/LROLRC_0062C/DATA/ESM5/2025070/NAC/M1496294066RE.IMG,yes
nac.m1259011610le,2017-09-02T17:12:23+00:00,85.04,4.959999999999994,1.7,86.31,137.61942473017845,proxy,-84.4546,25.0418,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-2-EDR-V1.0/LROLRC_0032/DATA/ESM3/2017245/NAC/M1259011610LE.IMG,yes
nac.m1146754115le,2014-02-11T10:34:08+00:00,85.88,4.1200000000000045,1.68,86.46,138.4648169993345,proxy,-84.35,33.248,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-2-EDR-V1.0/LROLRC_0018/DATA/ESM/2014042/NAC/M1146754115LE.IMG,yes
nac.m1146754115re,2014-02-11T10:34:08+00:00,85.9,4.099999999999994,1.12,85.58,138.4648169993345,proxy,-84.369,33.6813,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-2-EDR-V1.0/LROLRC_0018/DATA/ESM/2014042/NAC/M1146754115RE.IMG,yes
nac.m1228403831re,2016-09-13T11:02:44+00:00,85.3,4.700000000000003,1.13,84.49,138.96485489270063,proxy,-85.0282,28.821,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-2-EDR-V1.0/LROLRC_0028/DATA/ESM2/2016257/NAC/M1228403831RE.IMG,yes
nac.m1378966858re,2021-06-22T02:06:31+00:00,85.74,4.260000000000005,1.15,84.69,142.90106477297172,proxy,-85.1905,32.5751,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-2-EDR-V1.0/LROLRC_0048A/DATA/ESM4/2021173/NAC/M1378966858RE.IMG,yes
nac.m1116179304le,2013-02-22T13:33:57+00:00,85.08,4.920000000000002,1.67,85.6,144.46192096865718,proxy,-83.5443,34.3342,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-2-EDR-V1.0/LROLRC_0014/DATA/ESM/2013053/NAC/M1116179304LE.IMG,yes
nac.m1496350167re,2025-03-11T16:34:59+00:00,84.74,5.260000000000005,20.2,64.7,145.29062975381675,proxy,-84.8894,29.134,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-2-EDR-V1.0/LROLRC_0062C/DATA/ESM5/2025070/NAC/M1496350167RE.IMG,yes
nac.m1116186408re,2013-02-22T15:32:21+00:00,85.08,4.920000000000002,1.13,84.81,145.46427145165543,proxy,-83.5382,33.8071,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-2-EDR-V1.0/LROLRC_0014/DATA/ESM/2013053/NAC/M1116186408RE.IMG,yes
nac.m185574903le,2012-03-05T08:20:36+00:00,86.11,3.8900000000000006,1.68,86.51,146.28397555848218,proxy,-84.5581,31.1051,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-2-EDR-V1.0/LROLRC_0010/DATA/SCI/2012065/NAC/M185574903LE.IMG,yes
nac.m1378995005le,2021-06-22T09:55:38+00:00,85.81,4.189999999999998,1.71,87.32,146.87251171060328,proxy,-85.2463,33.587,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-2-EDR-V1.0/LROLRC_0048A/DATA/ESM4/2021173/NAC/M1378995005LE.IMG,yes
nac.m1496378219re,2025-03-12T00:22:32+00:00,84.76,5.239999999999995,21.13,63.78,149.24881360789954,proxy,-84.9178,30.2936,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-2-EDR-V1.0/LROLRC_0062C/DATA/ESM5/2025071/NAC/M1496378219RE.IMG,yes
nac.m124401181le,2010-03-28T07:38:36+00:00,85.77,4.230000000000004,1.69,85.79,154.8780368277474,proxy,-84.2508,28.4576,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-2-EDR-V1.0/LROLRC_0003/DATA/MAP/2010087/NAC/M124401181LE.IMG,yes
nac.m124407961le,2010-03-28T09:31:36+00:00,86.25,3.75,1.69,86.27,155.83467200155113,proxy,-84.7279,28.3767,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-2-EDR-V1.0/LROLRC_0003/DATA/MAP/2010087/NAC/M124407961LE.IMG,yes
nac.m1317825895le,2019-07-15T10:30:28+00:00,84.06,5.939999999999998,1.71,85.09,156.11702845940252,proxy,-83.8823,20.3427,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-2-EDR-V1.0/LROLRC_0040A/DATA/ESM3/2019196/NAC/M1317825895LE.IMG,yes
